Week,Take-out: (Mexico)
01/12/2019,46
08/12/2019,34
15/12/2019,48
22/12/2019,36
29/12/2019,61
05/01/2020,42
12/01/2020,48
19/01/2020,42
26/01/2020,35
02/02/2020,28
09/02/2020,32
16/02/2020,38
23/02/2020,38
01/03/2020,32
08/03/2020,34
15/03/2020,49
22/03/2020,53
29/03/2020,82
05/04/2020,93
12/04/2020,100
19/04/2020,70
26/04/2020,72
03/05/2020,77
10/05/2020,81
17/05/2020,64
24/05/2020,65
31/05/2020,69
07/06/2020,45
14/06/2020,62
21/06/2020,73
28/06/2020,58
05/07/2020,46
12/07/2020,57
19/07/2020,39
26/07/2020,59
02/08/2020,52
09/08/2020,46
16/08/2020,43
23/08/2020,31
30/08/2020,43
06/09/2020,42
13/09/2020,44
20/09/2020,51
27/09/2020,35
04/10/2020,39
11/10/2020,32
18/10/2020,46
25/10/2020,42
01/11/2020,28
08/11/2020,39
15/11/2020,51
22/11/2020,59
