Week,Take-out: (United States)
24/11/2019,22
01/12/2019,19
08/12/2019,23
15/12/2019,22
22/12/2019,24
29/12/2019,24
05/01/2020,21
12/01/2020,20
19/01/2020,23
26/01/2020,20
02/02/2020,23
09/02/2020,24
16/02/2020,22
23/02/2020,23
01/03/2020,23
08/03/2020,23
15/03/2020,74
22/03/2020,100
29/03/2020,91
05/04/2020,97
12/04/2020,77
19/04/2020,74
26/04/2020,69
03/05/2020,77
10/05/2020,68
17/05/2020,56
24/05/2020,52
31/05/2020,44
07/06/2020,42
14/06/2020,42
21/06/2020,40
28/06/2020,40
05/07/2020,41
12/07/2020,40
19/07/2020,49
26/07/2020,45
02/08/2020,43
09/08/2020,41
16/08/2020,36
23/08/2020,35
30/08/2020,34
06/09/2020,35
13/09/2020,32
20/09/2020,33
27/09/2020,34
04/10/2020,34
11/10/2020,36
18/10/2020,36
25/10/2020,37
01/11/2020,29
08/11/2020,41
15/11/2020,55
22/11/2020,61
