Week,interest
05/01/2020,80
12/01/2020,81
19/01/2020,82
26/01/2020,81
02/02/2020,81
09/02/2020,100
16/02/2020,89
23/02/2020,79
01/03/2020,79
08/03/2020,70
15/03/2020,72
22/03/2020,35
29/03/2020,30
05/04/2020,31
12/04/2020,34
19/04/2020,34
26/04/2020,37
03/05/2020,43
10/05/2020,48
17/05/2020,52
24/05/2020,55
31/05/2020,60
07/06/2020,65
14/06/2020,70
21/06/2020,70
28/06/2020,72
05/07/2020,74
12/07/2020,74
19/07/2020,75
26/07/2020,78
02/08/2020,83
09/08/2020,81
16/08/2020,84
23/08/2020,79
30/08/2020,79
06/09/2020,79
13/09/2020,72
20/09/2020,72
27/09/2020,71
04/10/2020,71
11/10/2020,70
18/10/2020,66
25/10/2020,62
01/11/2020,55
08/11/2020,57
